code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
569828;Babice;165;109;108;7;1;0;4;0;7;19;3;0;0;1;0;6;0;9;36;0;0;2;1;0;0;12;0
569836;Barchov;227;141;140;21;0;0;9;0;5;16;2;0;2;0;0;19;1;4;46;1;0;3;2;1;1;6;1
569852;Běleč nad Orlicí;269;207;206;38;0;0;8;0;9;1;3;0;7;0;0;16;0;12;76;0;0;10;1;0;0;25;0
569861;Benátky;93;67;67;9;0;0;2;0;9;1;0;0;2;0;0;7;0;5;19;0;0;5;0;0;2;6;0
569879;Blešno;322;227;227;53;1;0;15;0;8;6;2;2;2;0;0;35;0;13;63;3;0;7;0;1;1;14;1
569887;Boharyně;470;297;297;20;1;0;35;1;11;31;3;5;4;1;2;28;0;8;101;0;1;4;8;2;0;31;0
569917;Černilov;1901;1234;1226;150;6;1;50;1;56;80;20;12;25;1;6;147;0;83;328;1;1;93;11;5;2;146;1
569925;Černožice;893;578;577;41;6;1;20;0;25;52;7;4;8;0;0;68;0;32;223;2;0;30;2;0;1;53;2
569933;Čistěves;129;83;82;10;0;0;2;2;11;2;1;1;1;0;1;15;0;6;21;0;0;6;0;1;0;2;0
569941;Divec;175;111;110;18;0;0;3;0;8;6;3;1;4;0;0;15;0;10;23;0;0;6;2;0;0;11;0
569968;Dobřenice;459;282;279;37;2;0;17;0;4;23;1;2;6;0;0;24;0;17;99;0;0;11;5;0;1;29;1
569976;Dohalice;376;232;231;20;0;0;14;1;16;14;1;2;4;1;0;45;1;13;61;1;0;7;2;0;1;27;0
569984;Dolní Přím;561;418;418;58;1;0;23;1;27;27;3;3;5;0;0;56;0;21;115;1;2;25;3;0;3;41;3
569992;Habřina;235;163;158;13;1;0;10;0;4;18;0;0;7;0;0;7;0;12;61;0;1;4;0;1;0;19;0
570001;Hlušice;616;291;290;28;0;2;15;0;21;19;4;3;3;0;1;23;0;18;110;1;0;6;4;0;1;31;0
570010;Hněvčeves;135;90;90;16;0;0;2;0;8;4;1;1;5;0;1;10;0;1;34;0;0;5;0;0;0;1;1
570028;Holohlavy;747;491;489;47;1;0;34;1;26;43;3;6;5;0;0;48;0;18;187;1;1;10;4;1;1;48;4
570044;Hořiněves;578;331;329;24;0;0;9;0;12;36;2;5;3;0;1;33;0;15;123;0;1;10;3;0;2;50;0
569810;Hradec Králové;74309;49803;49468;5 986;74;83;3 050;29;1 983;3 262;789;269;884;34;74;6 115;41;4 068;14 810;105;61;2 869;467;82;35;4 166;132
570052;Hrádek;163;120;120;12;0;0;12;0;2;4;2;3;1;0;0;9;0;6;49;0;0;1;0;0;0;19;0
570087;Humburky;345;209;207;17;0;2;21;0;10;5;5;0;2;0;2;20;1;5;70;0;0;7;6;0;0;33;1
573621;Hvozdnice;170;132;132;16;0;0;8;0;9;8;1;1;3;0;0;8;0;4;49;0;2;6;4;0;0;12;1
570109;Chlumec nad Cidlinou;4395;2742;2726;263;5;2;197;3;77;214;41;19;54;2;2;326;2;137;764;3;3;237;62;5;6;290;12
570125;Chudeřice;188;119;118;14;1;1;16;0;6;2;1;0;2;0;0;12;0;2;34;0;0;7;0;0;1;19;0
570133;Jeníkovice;363;239;238;13;0;0;21;0;8;16;3;2;3;1;0;20;0;16;87;0;1;16;2;1;2;26;0
576352;Jílovice;257;192;190;12;0;1;19;0;12;9;1;4;7;1;1;26;1;1;55;1;1;12;1;3;0;22;0
570150;Káranice;173;117;117;11;0;0;8;0;3;24;1;0;2;0;0;19;0;2;24;0;0;6;0;0;1;16;0
570168;Klamoš;328;238;237;15;0;0;16;0;11;36;2;0;2;0;0;21;0;10;96;0;0;8;2;0;0;16;2
573710;Kobylice;191;120;120;20;0;0;6;0;8;5;2;0;2;1;0;6;0;5;39;0;0;3;1;1;0;21;0
570176;Kosice;290;183;181;8;0;0;8;0;11;16;0;0;1;1;0;20;0;3;70;0;0;9;9;1;1;22;1
570184;Kosičky;298;165;162;14;1;0;3;0;3;8;1;0;1;0;0;24;0;7;70;0;0;8;3;0;2;16;1
570192;Králíky;313;176;176;14;0;0;3;0;8;22;3;3;3;1;0;9;0;7;75;0;1;3;2;0;0;20;2
570206;Kratonohy;459;293;289;38;0;0;18;0;15;18;3;3;7;0;2;28;1;12;82;0;0;14;2;0;1;45;0
570214;Kunčice;276;200;199;23;0;0;17;0;25;11;3;4;1;1;0;16;0;6;68;0;0;5;2;1;0;16;0
576433;Ledce;301;184;183;23;0;2;7;1;8;16;1;2;5;0;2;10;0;11;61;0;0;18;3;0;0;13;0
570222;Lejšovka;165;114;112;10;1;0;6;0;3;7;0;5;3;0;0;7;0;2;44;0;0;5;0;0;0;19;0
570231;Lhota pod Libčany;743;520;519;69;0;0;31;1;26;32;6;12;5;1;1;59;0;33;164;1;3;21;6;1;1;41;5
570249;Libčany;722;521;513;65;1;0;22;1;15;35;4;5;6;0;1;46;0;20;180;1;3;19;3;0;1;82;3
570257;Libníkovice;125;98;97;26;0;0;6;0;3;3;0;0;2;0;1;6;0;4;19;1;0;12;1;0;1;11;1
570265;Librantice;425;319;319;31;0;0;10;3;20;10;1;1;12;0;2;42;0;28;103;0;0;18;7;0;1;30;0
570273;Libřice;240;176;172;16;0;0;11;0;4;13;2;1;3;0;1;20;0;6;52;0;0;18;2;0;0;22;1
570290;Lišice;140;81;81;1;0;0;14;0;2;10;0;1;3;0;0;3;0;1;29;0;0;10;0;0;0;7;0
570303;Lodín;317;196;194;19;0;0;9;0;12;16;1;1;5;0;0;23;0;7;76;0;0;5;1;0;0;17;2
570311;Lochenice;462;341;338;60;0;0;12;1;20;23;5;2;11;1;0;34;0;27;92;2;1;22;0;0;0;24;1
570320;Lovčice;550;331;331;18;0;2;30;0;7;27;3;4;3;1;0;28;1;9;119;0;0;24;3;1;2;48;1
570354;Lužany;120;69;67;5;0;0;7;0;1;12;1;0;1;2;0;10;0;1;20;0;0;3;0;0;0;2;2
570362;Lužec nad Cidlinou;414;250;249;30;0;0;15;0;7;9;3;3;5;0;0;18;0;9;110;1;0;7;4;0;2;26;0
573779;Máslojedy;172;110;109;7;0;1;3;0;2;12;5;0;4;1;1;8;0;9;39;0;0;4;0;0;0;12;1
570397;Měník;495;346;345;34;0;0;31;2;23;45;3;2;3;1;0;24;1;4;115;0;0;11;3;0;1;40;2
570401;Mlékosrby;187;119;118;14;0;0;3;0;4;15;1;0;2;0;0;16;0;0;41;0;0;6;2;0;1;13;0
570419;Mokrovousy;289;194;194;16;0;0;17;0;12;16;1;2;8;0;0;23;0;6;67;0;0;5;0;1;0;20;0
570427;Myštěves;151;110;108;4;0;0;4;0;12;10;0;4;1;0;0;8;0;2;51;0;0;1;0;0;0;11;0
570435;Mžany;339;240;239;23;1;1;7;1;14;21;4;4;0;0;0;14;0;23;74;1;1;15;3;0;0;31;1
570443;Neděliště;289;187;187;15;0;0;19;1;7;7;2;4;4;0;0;15;0;10;74;0;1;7;0;1;1;16;3
570451;Nechanice;1837;1124;1112;87;3;0;82;2;108;74;13;8;12;0;1;118;0;32;397;2;1;44;14;1;1;112;0
570478;Nepolisy;784;453;452;31;0;1;31;0;11;33;4;4;5;1;0;32;0;10;214;0;0;12;9;0;1;49;4
570494;Nové Město;336;226;225;20;0;1;11;0;10;33;1;3;4;0;0;20;0;9;83;0;0;5;8;0;1;16;0
570508;Nový Bydžov;5682;3186;3162;372;3;0;206;6;98;241;39;31;86;1;10;282;6;115;1 070;3;1;121;69;4;16;370;12
548065;Obědovice;235;139;139;28;1;0;5;0;6;6;2;1;0;0;0;7;0;7;57;0;0;9;2;1;0;7;0
570516;Ohnišťany;273;166;166;15;0;0;8;0;15;18;1;4;0;0;0;19;0;6;49;0;0;12;3;2;1;11;2
570524;Olešnice;274;166;164;21;0;1;11;0;6;14;1;1;6;0;0;17;0;3;55;0;1;6;4;0;0;17;0
570532;Osice;384;259;258;11;1;0;7;0;4;24;5;6;7;0;1;28;0;11;107;0;0;9;2;0;1;32;2
570541;Osičky;130;74;73;2;0;0;2;0;2;5;0;1;1;0;0;12;0;6;30;0;0;2;0;0;0;10;0
570567;Petrovice;221;157;156;3;2;0;12;0;2;23;1;2;2;0;0;6;0;2;73;0;0;2;0;1;0;25;0
570575;Písek;205;132;129;3;0;1;12;0;6;10;2;2;1;1;0;5;0;7;41;0;0;3;1;4;0;30;0
570648;Prasek;499;281;281;17;5;0;25;0;10;21;1;1;2;0;0;25;0;6;113;1;1;17;5;0;0;31;0
570656;Praskačka;851;532;529;67;2;0;31;0;19;43;16;4;8;1;2;61;0;33;169;0;3;17;3;4;1;45;0
570672;Předměřice nad Labem;1418;957;944;148;5;0;69;1;38;57;15;5;17;1;1;91;1;68;282;2;1;35;10;2;1;93;1
570681;Převýšov;269;166;165;7;0;0;12;0;3;6;4;4;3;3;0;17;0;1;68;0;0;9;5;1;2;19;1
530671;Pšánky;48;35;35;1;0;0;1;0;2;2;0;0;0;0;0;6;0;0;19;1;0;1;0;0;0;1;1
573531;Puchlovice;99;73;73;6;0;0;1;0;3;9;0;0;0;0;0;6;0;0;44;0;1;1;0;0;0;2;0
570702;Račice nad Trotinou;134;95;94;9;0;0;3;0;3;11;0;1;4;0;0;10;1;6;30;0;0;7;0;0;0;9;0
